# golden-reach ledger — golden-only tier, one scoped run per golden test, measured at commit e857ec1b00e3 over 183 golden tests
rank	key	region	unreached_sites	unreached_regions	regions	witnesses	outside	sites	note
19	array-item-composed	schemas	1	12	28	amazonaws.com-cloudfront,auto-agent-protocol,braintrust-dev,groupe-psa,openbankingproject-ch-kundenbeziehung,short-io,tamoss,zulip,zulip-jentic,zulip-jentic-entry	asana.com,box.com	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{]=0/10 ; src/ir.rs::is_inline_struct=16/18	-
20	array-item-empty-object	schemas	1	12	28	webflow-v2	-	src/ir.rs::Builder::nested_array_element[if is_inline_struct\(items\) \{]=0/10 ; src/ir.rs::is_inline_struct=16/18	-
21	array-item-anyof-discriminated-union	schemas	1	11	188	apideck.com-accounting,letta,paypal-catalog-products,truefoundry-trueforge,truefoundry-trueforge-5adde28	github.com	src/ir.rs::Builder::nested_array_element[^\s*\) \{$]=0/5 ; src/ir.rs::Builder::discriminated_union=177/183	-
22	property-anyof-discriminated-union	schemas	1	11	208	braintrust-dev,deepsearch-ds-v2	-	src/ir.rs::InlineHoister::prop_type_ref[^ {16}\) \{$]=0/1 ; src/ir.rs::InlineHoister::hoist_discriminated_union=23/24 ; src/ir.rs::Builder::discriminated_union=174/183	-
23	property-empty-object	schemas	1	11	27	traccar.org	apideck.com-pos,etherpad.local	src/ir.rs::InlineHoister::prop_type_ref[is_inline_struct\(prop_schema\) \{]=0/9 ; src/ir.rs::is_inline_struct=16/18	-
24	annotated-ref-target-anyof	schemas	1	8	27	braintrust-dev	-	src/ir.rs::InlineHoister::prop_type_ref[if target.one_of.is_some\(\)]=0/6 ; src/ir.rs::InlineHoister::hoist_named_copy=19/21	-
25	inheritance-discriminated-union	schemas	1	8	125	adyen-capital,ndw-accessibility-map	-	src/ir.rs::Builder::inheritance_discriminated_union=98/101 ; src/ir.rs::Builder::discriminated_union[if schema.one_of.is_none\(\) && schema.any_of.is_none\(\) \{]=6/6 ; src/ir.rs::is_inheritance_union_base=13/13 ; src/ir.rs::Builder::nested_array_element[^\s*\) \{$]=0/5	-
26	non-identifier-operation-id	document-paths	1	8	83	6-dot-authentiqio.appspot.com,adyen-capital,adyen-managed-risk-notification,adyen-report-notification,agco-ats,airbyte.local-config,alma-france,amazonaws.com-cloudformation,amazonaws.com-cloudfront,anchore.io,apache.org,apache.org-airflow,apache.org-qakka,api-openverse-org,apicurio.local-registry,apideck.com-accounting,apideck.com-ats,apideck.com-connector,apideck.com-crm,apideck.com-customer-support,apideck.com-ecommerce,apideck.com-ecosystem,apideck.com-file-storage,apideck.com-hris,apideck.com-issue-tracking,apideck.com-lead,apideck.com-proxy,apideck.com-sms,apideck.com-vault,apideck.com-webhook,apis.guru,apivideo-android-uploader,appwrite.io-client,appwrite.io-server,audience-filter,audience-filter-strict,audiobookshelf,auth-schemes,auto-agent-protocol,aws-importexport,basic-auth,billie,billie-entry,bintable.com,bracketed-property-names,braintrust-dev,buildrelay,bungie.net,bunq.com,chaingateway-io,client-class-name,cookie-parameters,cyclonedx-transparency-exchange,deepsearch-ds-v2,digit-leading-property,discord-com,discourse.local,discriminated-unions,enum-name-sanitization,enum-query-param,enum-receiver-collision,eos.local,eos.local-extra-fields-forbid,eozilla,error-responses,etsi.local-mec010-2_apppkgmgmt,exhaustive,flowdapt,folio-mod-authtoken,form-bodies,frankfurter,free5gc-namf-communication,free5gc-pdu-session,gambitcomm.local-mimic,googleapis-servicebroker,groupe-psa,helixdb-http-api,http-toolkit,hubspot-events,inline-array-request,inline-request-response,integer-enums,k8s-container-service-provider,khoainats,komga,letta,listennotes,livepeer-ai-runner,maif.local-otoroshi,malformed-property-schema,microcks.local,mindee-ocr,mosip-esignet,ndw-accessibility-map,nested-core-imports,netbox.dev,nexmo-messages,nextgen,oauth-client-credentials,openbanking.org.uk-account-info-openapi,openbankingproject-ch-kundenbeziehung,openepcis-dpp-ready,openintegrationhub-secret-service,openlinksw-osdb,operation-id-non-identifier,osparc-simcore-webserver,outreach,paloalto-cspm-alerts,paloalto-cspm-reports,paloalto-cspm-search-manager,paloalto-remote-networks,paypal-catalog-products,prometheus-x-edge-computing,pydantic-extra-fields,query-parameters-openapi,raybot,recursive-types,redhat.com-catalog_inventory,redocly.com-museum,sac-backend,schema-constraints,servers-webhooks,sftpgo,sigstore-rekor,skool,skool-entry,slurmdb-rest,spendesk,squareup.com,sse-streaming,strapi-rest-api,svix-webhooks,swagger-petstore,tag-based-grouping,tally,tamoss,thrivecart,timelyapp,timelyapp-entry,tlon-notes,torrentarr,twilio.com-twilio_messaging_v1,twilio.com-twilio_voice_v1,volview-backend-contract,vtex-pricing,webflow-v2,writeonly-fields,xero.com-xero-payroll-au,ziptax-node,zulip,zulip-jentic,zulip-jentic-entry	apideck.com-pos,appng-rest-api,asana.com,atlassian.com-jira,axesso.de,bbci.co.uk,box.com,calorieninjas.com,canada-holidays.ca,codesearch.debian.net,conjur.local,corrently.io,etherpad.local,github.com,gov.bc.ca-news,groundhog-day.com	src/openapi.rs::reject_unemittable_operation_ids=15/21 ; src/ir.rs::dotted_id_names_a_group=11/11 ; src/ir.rs::method_from_groupless_id=49/49 ; src/ir.rs::endpoint_module[if !id.is_empty\(\) \{]=0/2	-
27	http-dpop	security	1	4	8	blackadi-oauth2,mosip-esignet,openbankingproject-ch-kundenbeziehung	-	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{]=4/7 ; src/ir.rs::auth_model[_ => Auth::Bearer \{]=0/1	-
28	http-mutual	security	1	4	8	cyberark-conjur-api	conjur.local	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{]=4/7 ; src/ir.rs::auth_model[_ => Auth::Bearer \{]=0/1	-
29	http-negotiate	security	1	4	8	apache.org,apache.org-airflow	-	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{]=4/7 ; src/ir.rs::auth_model[_ => Auth::Bearer \{]=0/1	-
30	mutualTLS	security	1	4	8	openbankingproject-ch-kundenbeziehung	-	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{]=4/7 ; src/ir.rs::auth_model[_ => Auth::Bearer \{]=0/1	-
31	securityscheme-type-openidconnect	security	1	4	8	apache.org,apache.org-airflow,khoainats,openepcis-dpp-ready	-	src/ir.rs::auth_model[find\(\x7cscheme\x7c \{]=4/7 ; src/ir.rs::auth_model[_ => Auth::Bearer \{]=0/1	-
32	enum-leading-zero-member	schemas	1	3	76	amazonaws.com-cloudformation,aws-importexport,netbox.dev	github.com	src/naming.rs::numeric_enum_identifier=73/75 ; src/naming.rs::enum_words[if has_leading_zero_identifier_segment \{]=0/1	-
33	mutually-recursive-graph	schemas	1	2	246	6-dot-authentiqio.appspot.com,adyen-capital,adyen-managed-risk-notification,adyen-report-notification,agco-ats,airbyte.local-config,alma-france,amazonaws.com-cloudformation,amazonaws.com-cloudfront,anchore.io,apache.org,apache.org-airflow,apache.org-qakka,api-openverse-org,apicurio.local-registry,apideck.com-accounting,apideck.com-ats,apideck.com-connector,apideck.com-crm,apideck.com-customer-support,apideck.com-ecommerce,apideck.com-ecosystem,apideck.com-file-storage,apideck.com-hris,apideck.com-issue-tracking,apideck.com-lead,apideck.com-sms,apideck.com-vault,apideck.com-webhook,apis.guru,apivideo-android-uploader,appwrite.io-client,appwrite.io-server,audience-filter,audience-filter-strict,audiobookshelf,auth-schemes,auto-agent-protocol,aws-importexport,billie,billie-entry,bintable.com,braintrust-dev,buildrelay,bungie.net,bunq.com,byautomata.io,chaingateway-io,client-class-name,color.pizza,cookie-parameters,cradl,crozier-sdk-extensions,cyclonedx-transparency-exchange,daniweb-connect,deepsearch-ds-v2,digit-leading-property,discord-com,discriminated-unions,dnd5eapi.co,enum-name-sanitization,enum-receiver-collision,eos.local,eos.local-extra-fields-forbid,eozilla,error-responses,etsi.local-mec010-2_apppkgmgmt,exa-gate,exhaustive,fergus,flowdapt,folio-mod-authtoken,form-bodies,frankfurter,free5gc-namf-communication,free5gc-pdu-session,gambitcomm.local-mimic,googleapis-servicebroker,groupe-psa,helios-verifiable-api,helixdb-http-api,http-toolkit,hubspot-events,inline-array-request,inline-request-response,integer-enums,k8s-container-service-provider,khoainats,komga,letta,listennotes,livepeer-ai-runner,loris-dataquery,maif.local-otoroshi,marimo,med-anvisa-price,microcks.local,mindee-ocr,mosip-esignet,ndw-accessibility-map,netbox.dev,nexmo-messages,nextgen,oauth-client-credentials,openbanking-brasil-directory,openbanking.org.uk-account-info-openapi,openbankingproject-ch-kundenbeziehung,openepcis-dpp-ready,openfigi.com,openintegrationhub-secret-service,openlinksw-osdb,osparc-simcore-webserver,outreach,paloalto-cspm-alerts,paloalto-cspm-reports,paloalto-cspm-search-manager,paloalto-remote-networks,paypal-catalog-products,prometheus-x-edge-computing,pydantic-extra-fields,query-parameters-openapi,raybot,recursive-types,redhat.com-catalog_inventory,redocly.com-museum,sac-backend,schema-constraints,servers-webhooks,sftpgo,sigstore-rekor,skool,skool-entry,slurmdb-rest,spendesk,squareup.com,steaminputdb,strapi-rest-api,svix-webhooks,swagger-petstore,tally,tamoss,thrivecart,timelyapp,timelyapp-entry,tlon-notes,torrentarr,traccar.org,truefoundry-trueforge,truefoundry-trueforge-5adde28,twilio.com-twilio_messaging_v1,twilio.com-twilio_voice_v1,volview-backend-contract,vtex-pricing,withsecure-gdpr-subject-rights,worldcoin-signup-sequencer,writeonly-fields,xero.com-xero-payroll-au,ziptax-node,zulip,zulip-jentic,zulip-jentic-entry	apideck.com-pos,appng-rest-api,asana.com,atlassian.com-jira,axesso.de,bbci.co.uk,box.com,canada-holidays.ca,codesearch.debian.net,conjur.local,corrently.io,github.com,gov.bc.ca-news,groundhog-day.com	src/emit.rs::forward_ref_map=114/114 ; src/emit.rs::forward_repair_map[if reaches_cycle \{]=48/48 ; src/emit.rs::render_type_decl[if !forward\.is_empty\(\) \x7c\x7c needs_forward \{]=56/57 ; src/emit.rs::update_forward_refs_call=26/26 ; src/ir.rs::Builder::add_object[if !self\.building_types\.insert]=0/1	-
34	recursive-graph	schemas	1	2	246	6-dot-authentiqio.appspot.com,adyen-capital,adyen-managed-risk-notification,adyen-report-notification,agco-ats,airbyte.local-config,alma-france,amazonaws.com-cloudformation,amazonaws.com-cloudfront,anchore.io,apache.org,apache.org-airflow,apache.org-qakka,api-openverse-org,apicurio.local-registry,apideck.com-accounting,apideck.com-ats,apideck.com-connector,apideck.com-crm,apideck.com-customer-support,apideck.com-ecommerce,apideck.com-ecosystem,apideck.com-file-storage,apideck.com-hris,apideck.com-issue-tracking,apideck.com-lead,apideck.com-sms,apideck.com-vault,apideck.com-webhook,apis.guru,apivideo-android-uploader,appwrite.io-client,appwrite.io-server,audience-filter,audience-filter-strict,audiobookshelf,auth-schemes,auto-agent-protocol,aws-importexport,billie,billie-entry,bintable.com,braintrust-dev,buildrelay,bungie.net,bunq.com,byautomata.io,chaingateway-io,client-class-name,color.pizza,cookie-parameters,cradl,crozier-sdk-extensions,cyclonedx-transparency-exchange,daniweb-connect,deepsearch-ds-v2,digit-leading-property,discord-com,discriminated-unions,dnd5eapi.co,enum-name-sanitization,enum-receiver-collision,eos.local,eos.local-extra-fields-forbid,eozilla,error-responses,etsi.local-mec010-2_apppkgmgmt,exa-gate,exhaustive,fergus,flowdapt,folio-mod-authtoken,form-bodies,frankfurter,free5gc-namf-communication,free5gc-pdu-session,gambitcomm.local-mimic,googleapis-servicebroker,groupe-psa,helios-verifiable-api,helixdb-http-api,http-toolkit,hubspot-events,inline-array-request,inline-request-response,integer-enums,k8s-container-service-provider,khoainats,komga,letta,listennotes,livepeer-ai-runner,loris-dataquery,maif.local-otoroshi,marimo,med-anvisa-price,microcks.local,mindee-ocr,mosip-esignet,ndw-accessibility-map,netbox.dev,nexmo-messages,nextgen,oauth-client-credentials,openbanking-brasil-directory,openbanking.org.uk-account-info-openapi,openbankingproject-ch-kundenbeziehung,openepcis-dpp-ready,openfigi.com,openintegrationhub-secret-service,openlinksw-osdb,osparc-simcore-webserver,outreach,paloalto-cspm-alerts,paloalto-cspm-reports,paloalto-cspm-search-manager,paloalto-remote-networks,paypal-catalog-products,prometheus-x-edge-computing,pydantic-extra-fields,query-parameters-openapi,raybot,recursive-types,redhat.com-catalog_inventory,redocly.com-museum,sac-backend,schema-constraints,servers-webhooks,sftpgo,sigstore-rekor,skool,skool-entry,slurmdb-rest,spendesk,squareup.com,steaminputdb,strapi-rest-api,svix-webhooks,swagger-petstore,tally,tamoss,thrivecart,timelyapp,timelyapp-entry,tlon-notes,torrentarr,traccar.org,truefoundry-trueforge,truefoundry-trueforge-5adde28,twilio.com-twilio_messaging_v1,twilio.com-twilio_voice_v1,volview-backend-contract,vtex-pricing,withsecure-gdpr-subject-rights,worldcoin-signup-sequencer,writeonly-fields,xero.com-xero-payroll-au,ziptax-node,zulip,zulip-jentic,zulip-jentic-entry	apideck.com-pos,appng-rest-api,asana.com,atlassian.com-jira,axesso.de,bbci.co.uk,box.com,canada-holidays.ca,codesearch.debian.net,conjur.local,corrently.io,github.com,gov.bc.ca-news,groundhog-day.com	src/emit.rs::forward_ref_map=114/114 ; src/emit.rs::forward_repair_map[if reaches_cycle \{]=48/48 ; src/emit.rs::render_type_decl[if !forward\.is_empty\(\) \x7c\x7c needs_forward \{]=56/57 ; src/emit.rs::update_forward_refs_call=26/26 ; src/ir.rs::Builder::add_object[if !self\.building_types\.insert]=0/1	-
35	enum-empty-identifier-member	schemas	1	1	1	crozier-sdk-extensions,truefoundry-trueforge,truefoundry-trueforge-5adde28	atlassian.com-jira	src/naming.rs::finalize_enum_ident[if name.is_empty\(\) \{]=0/1	-
36	enum-leading-digit-identifier	schemas	1	1	1	bungie.net	github.com	src/naming.rs::finalize_enum_ident[if name.starts_with]=0/1	-
37	format-duration	schemas	1	1	2	mosip-esignet,osparc-simcore-webserver	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
38	format-email	schemas	1	1	2	airbyte.local-config,alma-france,api-openverse-org,apideck.com-accounting,apideck.com-ats,apideck.com-crm,apideck.com-customer-support,apideck.com-ecommerce,apideck.com-hris,apideck.com-issue-tracking,apideck.com-lead,apideck.com-sms,auto-agent-protocol,billie,billie-entry,discourse.local,fergus,maif.local-otoroshi,netbox.dev,openbankingproject-ch-kundenbeziehung,osparc-simcore-webserver,redocly.com-museum,sac-backend,sftpgo,short-io,sigstore-rekor,tally,webflow-v2	apideck.com-pos,asana.com,box.com,github.com	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
39	format-hostname	schemas	1	1	2	maif.local-otoroshi,short-io	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
40	format-ipv4	schemas	1	1	2	maif.local-otoroshi,paloalto-remote-networks,raybot	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
41	format-json-pointer	schemas	1	1	2	k8s-container-service-provider	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
42	format-password	schemas	1	1	2	apache.org,apache.org-airflow,deepsearch-ds-v2,osparc-simcore-webserver,sac-backend,sftpgo,traccar.org	conjur.local	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
43	format-regex	schemas	1	1	2	eozilla	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
44	format-time	schemas	1	1	2	maif.local-otoroshi	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
45	format-uri	schemas	1	1	2	airbyte.local-config,api-openverse-org,apideck.com-ats,apideck.com-connector,apideck.com-ecommerce,apideck.com-vault,apideck.com-webhook,apivideo-android-uploader,audiobookshelf,auto-agent-protocol,billie,billie-entry,blackadi-oauth2,braintrust-dev,cyclonedx-transparency-exchange,daniweb-connect,deepsearch-ds-v2,discord-com,eozilla,etsi.local-mec010-2_apppkgmgmt,frankfurter,letta,maif.local-otoroshi,mosip-esignet,netbox.dev,openbanking-brasil-directory,openbanking.org.uk-account-info-openapi,openbankingproject-ch-kundenbeziehung,openepcis-dpp-ready,openlinksw-osdb,osparc-simcore-webserver,paypal-catalog-products,short-io,sigstore-rekor,spendesk,steaminputdb,svix-webhooks,tally,tamoss,timelyapp,timelyapp-entry,truefoundry-trueforge,truefoundry-trueforge-5adde28,twilio.com-twilio_messaging_v1,twilio.com-twilio_voice_v1,webflow-v2,ziptax-node	asana.com,atlassian.com-jira,canada-holidays.ca,github.com	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
46	format-uri-reference	schemas	1	1	2	eozilla,k8s-container-service-provider	-	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
47	format-uri-template	schemas	1	1	2	openlinksw-osdb	github.com	src/ir.rs::base_type_ref[=^ {12}_ => TypeRef::Primitive\(Prim::Str\)]=1/1 ; src/ir.rs::scalar_body[=^ {12}_ => return None]=0/1	-
48	anyof	schemas	0	68	699	apache.org,apache.org-airflow,apideck.com-accounting,apideck.com-ats,apideck.com-connector,apideck.com-crm,apideck.com-customer-support,apideck.com-ecommerce,apideck.com-file-storage,apideck.com-hris,apideck.com-issue-tracking,apideck.com-lead,apideck.com-proxy,apideck.com-sms,apideck.com-vault,apideck.com-webhook,auto-agent-protocol,braintrust-dev,cradl,deepsearch-ds-v2,discord-com,dnd5eapi.co,fergus,flowdapt,free5gc-namf-communication,helixdb-http-api,letta,livepeer-ai-runner,marimo,openepcis-dpp-ready,osparc-simcore-webserver,paypal-catalog-products,short-io,tamoss,timelyapp,timelyapp-entry,truefoundry-trueforge,truefoundry-trueforge-5adde28,volview-backend-contract,withsecure-gdpr-subject-rights,zulip,zulip-jentic,zulip-jentic-entry	apideck.com-pos,atlassian.com-jira,bbci.co.uk,box.com,github.com	src/ir.rs::union_variants=28/29 ; src/ir.rs::Builder::add_named[if let Some\(variants\) = schema\.one_of\.as_ref\(\)\.or\(schema\.any_of\.as_ref\(\)\) \{]=83/106 ; src/ir.rs::Builder::field_type_ref[if let Some\(members\) = prop_schema\.any_of\.as_ref\(\)\.or\(prop_schema\.one_of\.as_ref\(\)\) \{]=450/493 ; src/ir.rs::simple_nullable_member=30/30 ; src/openapi.rs::collapse_sole_composition_member=40/41	-
49	pathitem-ref	document-paths	0	56	119	cyberark-conjur-api,raybot	-	src/refs.rs::Resolver::resolve_path_item[if let Some\(reference\) = item.reference.clone\(\) \{]=31/48 ; src/refs.rs::split_external=17/19 ; src/refs.rs::DocumentLocation::from_reference=15/52	-
50	parameter-style-pipedelimited-query-scalar	parameters	0	50	85	loris-dataquery	-	src/ir.rs::build_endpoint[^\s*QueryParam \{]=13/13 ; src/emit.rs::append_request_call_args[if !ep\.query_params\.is_empty\(\) \{]=22/72	-
